column,dtype,missing_count,missing_fraction,unique_non_null
source_file,string,0,0.0,1
date,datetime64[ns],0,0.0,262
event_id,string,0,0.0,78
event_start,datetime64[ns],0,0.0,72
event_end,datetime64[ns],0,0.0,64
event_duration_days,int64,0,0.0,18
event_day_number,int64,0,0.0,79
event_name,string,0,0.0,75
event_category,string,0,0.0,11
event_subcategory,string,0,0.0,38
event_scope,string,0,0.0,14
event_location,string,0,0.0,28
proximity_la_roca,string,0,0.0,4
expected_impact,string,0,0.0,7
event_intensity,int64,0,0.0,7
demand_direction,string,0,0.0,3
probable_service_window,string,0,0.0,18
customer_segment,string,0,0.0,30
date_confidence,string,0,0.0,3
is_estimated,int64,0,0.0,2
suggested_feature,string,0,0.0,54
source_type,string,0,0.0,3
source_url,string,0,0.0,30
modeling_notes,string,0,0.0,62
quality_repeated_business_key,bool,0,0.0,1
event_range__invalid,bool,0,0.0,1
event_duration_days__invalid,bool,0,0.0,1
event_day_number__invalid,bool,0,0.0,1
