column,dtype,missing_count,missing_fraction,unique_non_null
source_file,string,0,0.0,1
report_start,datetime64[us],0,0.0,1
report_end,datetime64[us],0,0.0,1
report_generated_on,datetime64[us],0,0.0,1
terminal_start,string,0,0.0,1
terminal_end,string,0,0.0,1
turn,string,0,0.0,1
department_code,int64,0,0.0,18
department_name,string,0,0.0,18
article_code,int64,0,0.0,251
article_name,string,0,0.0,251
units,float64,0,0.0,161
amount,float64,0,0.0,242
quality_repeated_business_key,bool,0,0.0,1
units__negative,bool,0,0.0,1
amount__negative,bool,0,0.0,1
es_invitacion,bool,0,0.0,1
report_days,int64,0,0.0,1
period__invalid,bool,0,0.0,1
units__outlier,bool,0,0.0,2
amount__outlier,bool,0,0.0,2
