column,dtype,missing_count,missing_fraction,unique_non_null
source_file,string,0,0.0,1
date,datetime64[ns],0,0.0,1286
temperature_mean,float64,0,0.0,304
temperature_max,float64,0,0.0,336
temperature_min,float64,0,0.0,286
precipitation_mm,float64,0,0.0,143
rain_mm,float64,0,0.0,142
precipitation_hours,float64,0,0.0,25
wind_speed_max_kmh,float64,0,0.0,256
sunshine_duration_s,float64,0,0.0,1159
sunshine_hours,float64,0,0.0,1159
latitude,float64,0,0.0,1
longitude,float64,0,0.0,1
elevation,float64,0,0.0,1
utc_offset_seconds,int64,0,0.0,1
timezone,string,0,0.0,1
timezone_abbreviation,string,0,0.0,1
quality_repeated_business_key,bool,0,0.0,1
temperature_mean__physically_suspicious,bool,0,0.0,1
temperature_max__physically_suspicious,bool,0,0.0,1
temperature_min__physically_suspicious,bool,0,0.0,1
precipitation_mm__negative,bool,0,0.0,1
rain_mm__negative,bool,0,0.0,1
precipitation_hours__negative,bool,0,0.0,1
precipitation_hours__physically_suspicious,bool,0,0.0,1
wind_speed_max_kmh__negative,bool,0,0.0,1
sunshine_duration_s__negative,bool,0,0.0,1
sunshine_duration_s__physically_suspicious,bool,0,0.0,1
sunshine_hours__negative,bool,0,0.0,1
sunshine_hours__physically_suspicious,bool,0,0.0,1
